query,answer
鼻炎能否根治？,急性鼻炎一般是可以治愈的，可是一旦再次「感冒」，还是会有复发的可能性。慢性鼻炎通常病程较长，较难根治，容易反复发作，但通过积极有效的治疗，能减少发作次数，减轻发作时的症状。
过敏性鼻炎的脱敏治疗是什么？,过敏性疾病是身体对环境的某些刺激产生的过敏性反应。脱敏治疗，简单地说就是按照由低到高的强度，对身体反复进行该种刺激，使身体对这种刺激形成「习惯」，反应减轻，直至不产生明显反应。但是脱敏治疗的时间较长（一般 3～6 个月起效，疗程通常需要 3 年），且费用较高（总费用在数千到数万不等），即使采用了脱敏治疗，也有部分患者存在效果不明显的现象，因此建议根据自身情况谨慎选择。
鼻炎治疗用的喷鼻剂或滴鼻剂有哪些？要注意什么？,目前用于治疗鼻炎的喷鼻剂或滴鼻剂共有三大类：•	减充血剂：比如羟甲唑啉喷雾剂。药店能买到的非处方药物多为此类，短期效果好，喷鼻后鼻塞症状能立即缓解，持续几个小时。•	糖皮质激素类：如布地奈德鼻喷剂等。•	抗组胺类：如盐酸氮卓斯汀鼻喷剂等。其中第 2、3 类多为处方药，按照医生推荐的剂量和疗程使用，一般不会产生依赖性。但是第 1 类药物，患者可以在药店自行购买，缺乏医生专业指导，容易造成滥用；长期使用此类药物，不但疗效变差，还会引起「药物性鼻炎」，就会变得很难治疗。因此，如果使用第 1 类药物，即减充血剂（比如羟甲唑啉喷雾剂），注意最好不连续用超过一周，不建议长期使用。
鼻炎是否需要手术？,部分病程长、保守治疗疗效不好、症状严重影响生活的鼻炎患者，可采用手术治疗的方式。但因为鼻炎的原因比较复杂，包括环境、心理等各方面因素，手术效果并不能完全保证，具体可向专业医生进一步咨询。
鼻炎患者怎样进行鼻腔冲洗？,•	有的医院有电动的鼻腔冲洗器，可到医院行鼻腔冲洗。•	购买简易手动洗鼻器（视频）在家冲洗。 洗鼻器的型号较多，具体用法可咨询销售人员。有相应的冲洗盐剂放入洗鼻器内，加温水后进行冲洗；也可只用生理盐水冲洗。 成人及愿意接受鼻腔冲洗的小孩都适用，可在家及学校宿舍使用，一日 1～2 次。•	小瓶装喷雾型洗鼻剂。内容的冲洗药液已配好，对鼻孔内喷数喷即可，但一瓶喷完无法重复使用。便于随身携带，一日可多次使用。且喷雾压力较温和，不愿接受洗鼻器冲洗的小孩也可选用喷雾型洗鼻。
肺炎是什么？,\n1.简介：\n肺炎是指发生在肺部的炎症，是一种常见的呼吸系统疾病。可由细菌、病毒、真菌、寄生虫等微生物感染引起，也可以因接受放射线照射、吸入异物等原因引起。常见表现有发烧、咳嗽、咳痰、胸痛等。\n由微生物感染引起的肺炎也叫肺部感染、感染性肺炎，可以通过抗感染（包括抗菌、抗病毒、抗寄生虫等）治疗治愈，其他类型的肺炎治疗方法各异。一般的感染性肺炎都能治好，但较重的肺炎有可能会危及生命。\n2.症状：\n不同病因导致的肺炎，其临床表现略有差异，主要的表现有咳嗽、咳痰、发热、寒战、胸痛、呼吸困难等。\n危重患者还可能出现缺氧、烦躁、呼吸衰竭、休克（晕厥、血压下降、意识丧失）、少尿、肾功能衰竭等表现。\n3.病因：\n不同类型的肺炎，发病原因不同。比如：\n感染性肺炎：各种病原体（病毒、细菌、真菌、支原体、衣原体、寄生虫等）可以通过呼吸道或血液进入支气管和肺部，如果机体免疫力较低或者致病菌的毒力较强，机体就不能及时清理掉这些病原体，就可能引发肺炎。\n吸入性肺炎：是由于误吸导致的肺部炎症，常见的容易发生误吸的情况有醉酒、癫痫发作、麻醉、中风、胃食管反流、异物吸入等。\n放射性肺炎：是由于恶性肿瘤放射治疗（放疗）后，造成肺组织损伤引起的肺炎。常见的容易引起放射性肺炎的癌症有肺癌、乳腺癌、食管癌等。\n其他：自身免疫性疾病也可以导致肺部炎症，与免疫系统紊乱有关；使用某些药物（如胺碘酮）可导致间质性肺炎；长期吸入石棉粉尘，可导致慢性肺炎，表现为肺间质纤维化；等等。\n4.诊断：\n当出现咳嗽、咳痰、发热、胸痛等症状时，需要怀疑肺炎并及时就诊，医生会进行仔细的体格检查（包括测体温、肺部听诊等），并结合一些抽血化验、影像学检查结果来诊断肺炎。常用的检查有：\n血常规：是诊断肺炎的主要手段之一，通过白细胞计数、中性粒细胞计数、C 反应蛋白（CRP）、降钙素原等检查结果，来判断是否有细菌感染、感染的严重程度，还可动态反映肺炎治疗的效果。\n血气分析：判断肺炎患者呼吸功能是否异常。\n肺功能检查：肺功能检查对肺炎的早期诊断、观察疗效和判断预后有重要的临床意义。\n胸部X线检查：可以明确病变的位置和严重程度，对治疗后随访观察、评估疗效也有重要的作用。\n胸部 CT：可以清晰地查看肺组织的细微结构，用于 X 线和一般检查难以确定的其它可疑病变。\n病原学检查：包括痰涂片和痰培养，是诊断细菌性肺炎类型最常用的方法，但敏感性和特异性不高，多在抗生素应用之前留取，以便医生有针对性的，采用对病原体敏感的药物进行治疗。\n5.治疗：\n一般治疗：\n患病期间尽量卧床休息，可增加饮水量。同时保证摄入足够的蛋白质、热量及维生素。\n对症支持治疗：\n止咳、化痰：如果以干咳为主，可遵医嘱酌情使用镇咳药物如右美沙芬、磷酸可待因等。痰量过多或有脓痰时，可口服祛痰药物如盐酸氨溴索、乙酰半胱氨酸，或应用氨溴索、乙酰半胱氨酸进行雾化治疗。用药须严格遵照医嘱，严禁擅自用药。\n退热：体温过高时，可先进行物理降温，如冰袋、退热贴等。若高烧不退，可遵医嘱服用布洛芬等解热退热药物，但需注意退热药物过度使用可能带来的危害（比如引起大量出汗、水电解质紊乱、增加消化道出血风险等）。\n抗感染治疗：\n抗菌药物：抗菌药物是治疗细菌性肺炎的主要药物。目前，常用的抗菌药物包括青霉素类、头孢菌素类 、喹诺酮类 、大环内酯类、磺胺类、抗真菌药物等。使用抗菌药物须严格遵照医嘱，避免出现耐药性。\n抗病毒药物：经诊断系由病毒感染引起的肺炎，常用的抗病毒药物有利巴韦林、阿昔洛韦、更昔洛韦、奥司他韦等。\n6.生活：\n三餐规律，保证饮食均衡，戒烟戒酒。\n注意休息，避免劳累、剧烈运动。\n根据自身情况选择一些中等强度的体育锻炼（如慢跑、骑自行车等），避免剧烈运动。\n注意室内通风，保持合适的室内湿度（50%～60%），湿度太低容易诱发咳嗽，湿度太高容易滋生病菌。\n多饮水，因为发热、出汗会导致体内水分流失。多喝水、多排尿还有利于将体内的代谢废物更快的排出体外，有助于疾病的康复。\n保持良好的卫生习惯，勤洗手，戴好口罩，有咳嗽、打喷嚏等呼吸道症状时用纸巾、肘部衣物遮挡口鼻，减少去人群密集的场合，避免传染给他人。\n7.预防：\n养成良好的卫生习惯，勤洗手，用肥皂和流动水洗手。\n易感人群、老年人群、慢性病人群（如高血压、糖尿病等）可接种肺炎疫苗（13 价肺炎疫苗和 23 价肺炎疫苗）、流感疫苗。可搜索或点击查看「肺炎疫苗」「流感疫苗」，了解适合接种的人群、接种的时间点等。\n积极锻炼身体，提高机体免疫力。\n避免淋雨、疲劳、醉酒等肺炎的诱发因素。\n老人、小孩及体弱者应避免接触感冒、肺炎患者，少去人多、封闭的公共场所，处于人群密集处建议佩戴口罩。\n房屋内定期开窗通风，天气较冷时可每日通风半小时左右，同时注意添加衣物。\n长期卧床者应经常变换体位，防止发生坠积性肺炎。\n8.就诊：\n推荐科室\n呼吸内科\n复旦大学附属华山医院\n上海市乌鲁木齐中路12号、华山路433号、吴中东路518号、浦东新区红枫路525号、闵行区金光路958号、江苏路796号、宝山区陆翔路108号、同望路55号\n三级甲等\n浙江大学医学院附属第一医院\n杭州市庆春路79号\n三级甲等\n南方医科大学南方医院\n广州市广州大道北1838号\n三级甲等\n中国医学科学院北京协和医院\n北京市东城区王府井帅府园1号（100730）；北京市西城区大木仓胡同41号（100032）\n三级甲等\n
支气管炎是什么病？,\n1.简介：\n支气管炎是一种慢性非特异性炎症，主要发生在支气管、支气管黏膜及其周围组织。主要症状为咳嗽、咳痰、气喘（喘息）、呼吸急促、胸部不适等。\n支气管炎包括急性及慢性两类。\n急性支气管炎大多由病毒感染引起，通常表现为持续 2～3 周的咳嗽。治疗以休息、退热、平喘为主。如果合并有细菌感染，可使用抗菌药物。经过及时、正规治疗，一般可治愈。\n慢性支气管炎最主要的危险因素是吸烟，临床表现为每年咳嗽、咳痰或伴喘息持续三个月，并连续二年以上。治疗包括戒烟、吸氧、抗炎、解痉平喘、化痰止咳等支持治疗。 慢性支气管炎很难根治，可影响患者的最大运动量和生活质量，可以通过肺康复功能训练等各种措施进行预防以减少急性发作的次数。\n2.症状：\n急性支气管炎最常见的症状是咳嗽，其他症状包括咳痰、气喘、呼吸急促、胸闷等。症状总持续期通常约三周左右。少数患者症状可能持续六周。\n慢性支气管炎的症状包括咳嗽、咳痰、 气喘及呼吸急促，特别是在劳累情况下气促明显。咳嗽常在晨起后加重，可伴有咳黄色或绿色痰，或伴有少量血丝痰。\n3.病因：\n超过 90% 的急性支气管炎为病毒感染（如流感病毒、呼吸道合胞病毒、鼻病毒等）导致，吸烟、吸入粉尘、空气污染中的人群更容易被感染。\n少数急性支气管炎由严重空气污染或细菌感染导致。\n大多数慢性支气管炎由于吸烟导致。此外，空气污染、刺激性气体、职业粉尘暴露（如煤矿开采、谷物装卸运输、纺织制造、畜牧业、金属锻造等） 也是慢性支气管炎的危险因素。\n慢性支气管炎可出现急性发作，常常是由细菌感染所诱发，常见的感染细菌有肺炎链球菌、流感嗜血杆菌、卡他莫拉菌等。\n免疫因素：人体免疫异常或免疫力低下时，易受到细菌和病毒的侵袭，从而易发生支气管炎。\n季节因素：冬季慢性支气管的发病率较高，且发生急性感染发作的病例较多。\n4.诊断：\n需要进行 X 线胸片、血常规、痰涂片或痰培养、血清学检查等。\nX 线胸片检查有助于早期发现是否还患有肺炎。\n血常规检查有助于判断是否为病毒感染或细菌感染导致。\n痰涂片或痰培养、血清学检查等有助于发现致病的病原体。\n慢性支气管炎需要进行呼吸功能检查，了解气道的阻塞情况、病情发展的阶段。\n5.治疗：\n药物治疗：\n糖皮质激素：可以控制气道的慢性炎症（非感染性炎症），有助于缓解气道上皮的炎症和水肿，适用于慢性支气管炎患者。\n氨茶碱：有助于减少气道痉挛，减轻气喘、气促等症状。适用于慢性支气管炎患者，可能会引起恶心、呕吐、易激动、失眠等不良反应。\n化痰： 化痰药物（如溴已新），具有祛痰、镇咳的作用，对慢性支气管炎急性加重也有一定的治疗效果。可能会引起恶心、胃部不适等不良反应。\n抗生素：如青霉素、头孢氨苄等，可以抗菌，控制感染，可能会引起恶心、呕吐、腹泻、皮疹等不良反应。\n雾化：常用药物有布地奈德、沙丁胺醇等，通过气雾湿化吸入，可稀释气管内的分泌物，有利排痰，适用于慢性支气管炎患者，可能引起声音沙哑、咽喉刺激、咳嗽等不良反应。\n吸氧： 血氧饱和度低于 90% 的患者可以给予吸氧，长期低流量吸氧有助于缓解低氧血症，并可提高慢性支气管炎患者的生存率。\n6.生活：\n注意合理饮食、适当锻炼，增强体质。每天保证足量的睡眠；\n当精神压力大、情绪紧张时，注意自我调节；\n注意根据天气变化增减衣物，避免着凉；\n居住环境应清洁卫生，定期消毒以防止细菌感染；勤通风，避免患者吸入刺激性气体和粉尘。\n流行性感冒好发季减少出门的次数，出门佩戴口罩，减少病毒感染的几率。\n合理安排作息时间，避免劳累。\n7.预防：\n急性支气管炎的预防包括勤洗手、戒烟（避免二手烟）、避开环境污染等。\n慢性支气管炎的预防最重要的是戒烟。此外，避免感冒、呼吸道刺激，有助于减少慢性支气管炎急性发作。\n接种流感疫苗、肺炎疫苗等，预防疾病。\n8.就诊：\n推荐科室\n呼吸内科\n广州医科大学附属第一医院\n广州市沿江西路151号\n三级甲等\n中日友好医院\n北区:北京市朝阳区樱花园东街2号西区:北京市朝阳区双泉堡甲2号\n三级甲等\n四川大学华西医院\n四川省成都市武侯区国学巷37号\n三级甲等\n中国医学科学院北京协和医院\n北京市东城区王府井帅府园1号（100730）；北京市西城区大木仓胡同41号（100032）\n三级甲等\n
百日咳是什么？,\n1.简介：\n百日咳( pertussis， whooping cough)是由百日咳杆菌引起的一种急性呼吸道传染疾病。\n因为该病病史一般持续 2～3 个月，故名「百日咳」。\n主要表现为以间断出现的痉挛性咳嗽、咳嗽终止时伴有吸气吼声为特点，婴幼儿患者常见，可合并窒息、肺炎、百日咳脑病等，病死率较高。\n近年来，婴幼儿及成人发病率有逐年增加的趋势。\n该病尚无特别有效的治疗方法，但可以通过抗感染、对症治疗控制症状。患病期间需要呼吸道隔离，患者生活质量不会受到严重影响。\n2.症状：\n一般该病潜伏时间为平均 7～10 天。百日咳起病不容易发现，进展比较慢，会持续恶化，就像下长坡一样，慢却持久，病程常持续 2～3 个月，故称为「百日咳」。临床过程分三期：\n(一)卡他期 从起病至阵发性痉挛的出现，约 7～14 天。开始类似于感冒一样的症状，患者会感到发热、咳嗽、喷嚏、流泪等不适。2～3 天后发热好转，而咳嗽较前加重，尤以夜间更明显，由疾病开始的单声干咳渐变成后续的痉挛性咳嗽。\n（二）痉咳期 该段病期一般为 2～4 周或更长，此时基本已无发热，患者会出现阵发性痉挛性咳嗽，发作时连续十余声至数十声短促的咳嗽，随后出现深长的吸气。紧接着一连串咳嗽如此反复，直至排出大量黏稠痰液或吐出胃内食物为止，这些不适一般以夜间较为常见。\n当患者跑步、进食、受凉、情绪变化等均可诱发痉挛性咳嗽。咳嗽发作时患者表情痛苦，脸面潮红；因反复咳嗽可出现颈部静脉怒张，甚至大小便失禁。\n痉挛性咳嗽频繁的患者可出现脸面浮肿，甚至会出现眼结膜下出血或鼻出血，或者颅内出血。新生儿和婴幼儿常无典型的痉挛性咳嗽，患儿可表现为阵发性屏气和颜面发紫，易窒息、抽搐。\n可因脑部缺氧而发生抽搐，称窒息性发作。此发作常在夜晚发生，若抢救不及时，常因窒息缺氧而死亡。\n（三）恢复期 此期为2～3周。患者在该阶段可表现为阵发性咳嗽减轻、好转，患者精神食欲恢复正常。若有并发症，病程相应可能会延长。\n(四)并发症 1.支气管肺炎是常见的并发症，为继发感染所致。患者可出现高热，呼吸浅而快，阵发性痉咳常可停止。在病情较重的患儿还可有肺气肿及皮下气肿。 2.百日咳脑病是最严重的并发症，该症状的出现是由于脑组织缺氧、颅内出血所引起常有意识障碍、抽搐、高热等，可能危及生命。恢复后可留有一侧肢体活动不佳等神经系统症状。 3.其他如眼结膜出血、腹股沟疝和脱肛等。\n3.病因：\n百日咳由百日咳杆菌引起的急性呼吸道传染病，可通过呼吸道传播，婴幼儿好发，偶可见于成人。\n4.诊断：\n医生在诊断百日咳时，主要参考的是患者接触史、症状表现及辅助检查。\n流行病学史 该病传染性较强，密切接触的易感人群 90% 以上可患病，以冬春季节多见，好发于婴幼儿。\n典型临床表现 出现卡他症状，体温下降咳嗽症状加重，出现痉挛性阵发性咳嗽以及咳嗽终止时有鸡鸣样吼声，以夜间更为显著，无明显肺部体征。\n实验室检查\n血常规检查：起病早期及痉咳初期时，白细胞计数多增高，淋巴细胞比例增高达 60%～80%。约1/3 有继发感染者淋巴细胞相对减少。\n血清学检查：以百日咳杆菌作为抗原，以 ELISA 检测特异性 IgM，可作早期诊断。亦可检测百日咳杆菌抗体滴度 ≥1:320 为阳性诊断。\n细菌学检查起病初取鼻咽拭子，作细菌培养，早期阳性率较高；或者直接检测百日咳菌落是可靠方法。鼻咽拭子培养法可在阵咳后取咽后壁黏液，阳性率较高。\n应用百日咳杆菌克隆的基因片段对患者鼻咽分泌物进行杂交或 PCR 检查，特异性和敏感性均很高，且可快速诊断，但须结合临床资料进行诊断。\n因为发热、咳嗽等原因，百日咳可能和上呼吸道感染、肺结核等疾病混淆。医生需要通过做血清、细菌学检查来区别。其中上述实验室检查中，1、2 两项检查需静脉采血化验，简单、快捷，无较大痛苦。3、4 两项检查需采集分泌物检查，无创、准确性高，但价格稍昂贵。\n5.治疗：\n百日咳一般需要到儿科、感染科住院治疗。治疗方法主要有呼吸道接触隔离、药物等。药物治疗适用于症状比较重，需要留意疾病后续的并发症，如有肺部、脑部症状，大多数手 不佳，会有重症肺炎、肢体活动不佳等后遗症。\n一般治疗 该病一般需要住院治疗。按呼吸道隔离，保持室内空气新鲜、环境安静，避免一切可诱发咳嗽的因素。注意营养，精心护理，预防并发症，半岁以下的婴儿有突然出现室息、抽搐可能，需专人守护。\n抗生素治疗 应用于卡他期或痉咳早期，可减轻症状和缩短病程。首选红霉素。亦可选用罗红霉素、阿奇霉素。其他可用氨苄西林肌注或复方磺胺甲嗯唑 (TMP) 及 SMZ，疗程 7～14 天。\n对症治疗 祛痰止咳剂为沙丁胺醇，可减轻咳嗽，咳痰剧烈者，可给镇静剂如苯巴比妥、安定等。\n肾上腺皮质激素 对于危重患儿如并发脑病者，口服泼尼松或氢化可的松静脉滴注，应注意激素的副作用。\n6.生活：\n该病病程期间，需静养、休息，避免到人群密集的地方活动；\n在饮食上，注意多喝水、多吃水果、蔬菜；荤素搭配合理，烹饪时注意少放盐、少用含盐高的调料；少吃腌制菜、肉等；忌辛辣刺激；\n注意每天进行 30 分钟左右的运动，强度适中不过量；\n每天保证足量的睡眠。\n7.预防：\n该病好发季节，多开窗通风，避免到人群密集的地方活动；\n平时多饮水、清淡饮食，每天适度运动，慢跑、瑜伽、散步等活动，增加机体抵抗力；\n接种百日咳、白喉、破伤风(百白破)三联菌苗可预防本病。\n
感冒是什么病？,\n1.简介：\n感冒是由病毒引起的急性上呼吸道（鼻、咽、喉）感染的一种，常在换季和冬、春季节发病。\n目前主要用来指具有打喷嚏、鼻塞、流鼻涕、浑身不舒服、咳嗽、喉咙痛、头痛、低烧等症状的综合征。\n2.症状：\n常见的症状包括鼻塞、流鼻涕、咽痒、咽喉痛、咳嗽、声音沙哑、打喷嚏、流眼泪、头痛、头昏、疲乏、浑身不舒服、怕冷、低烧等。\n不同的病毒，引起的症状可能有所不同， 但不能仅依靠症状来判断是哪种病毒。\n比如，鼻病毒更容易引起鼻塞、流鼻涕、打喷嚏等鼻部症状；流感病毒和副流感病毒更容易引起疲乏、全身酸痛、头痛、发烧等症状；腺病毒更容易引起咽喉痛、发烧等症状。  \n3.病因：\n最常见的引起感冒的病毒是鼻病毒，大约一半的感冒是由它引起的。\n其它可以引起感冒的病毒还有冠状病毒、流感病毒、副流感病毒、呼吸道合胞病毒、腺病毒、肠道病毒等 200 余种病毒。\n4.诊断：\n最常见的引起感冒的病毒是鼻病毒，大约一半的感冒是由它引起的。\n其它可以引起感冒的病毒还有冠状病毒、流感病毒、副流感病毒、呼吸道合胞病毒、腺病毒、肠道病毒等 200 余种病毒。\n5.治疗：\n感冒是由各种病毒引起的，目前没有针对这些病毒的特效抗病毒药物，所以感冒可以说是「无药可医」。\n但感冒通常症状轻微，所以大部分人无需治疗，只需静待感冒自行痊愈，注意多喝水、多休息即可。如果 3～10 天症状没有缓解甚至还有加重，应及时去医院就诊。\n部分感冒患者如果症状较重、较难忍受，可以进行对症治疗，常用药物如下。\n6.生活：\n多休息；\n多喝水；\n吃清淡、易消化、富含营养的食物；\n保持室内通风；\n保持气温适宜，避免过冷和过热。\n7.预防：\n研究发现，注意手卫生可以预防呼吸道病毒传播，尤其是幼儿向他人的传播。 目前推行有效的「七步洗手法」，针对手上七个部位进行重点清洗，步骤如下：\n手心相对，清洗手掌、手心；\n手心对手背，清洗手背、指背；\n手指交叉，清洗手指、指缝；\n弯曲指关节紧扣搓揉，清洗指背、指甲；\n一手握住另一手拇指，清洗拇指、虎口；\n一手捏合在另一手的手心搓揉，清洗指甲、指尖；\n一手握住另一手手腕，清洗手腕。 \n8.就诊：\n推荐科室\n呼吸内科\n广州医科大学附属第一医院\n广州市沿江西路151号\n三级甲等\n中日友好医院\n北区:北京市朝阳区樱花园东街2号西区:北京市朝阳区双泉堡甲2号\n三级甲等\n四川大学华西医院\n四川省成都市武侯区国学巷37号\n三级甲等\n中国医学科学院北京协和医院\n北京市东城区王府井帅府园1号（100730）；北京市西城区大木仓胡同41号（100032）\n三级甲等
百日咳是什么病？,\n1.简介：\n百日咳是由「百日咳鲍特氏菌」引起的急性呼吸道传染病，患者表现为阵发性痉挛性咳嗽伴深长的鸡鸣样回声，病程可绵延数月，故称「百日咳」。\n2.症状：\n百日咳的典型表现包括阵发性咳嗽、吸入性哮声和咳嗽后呕吐。典型表现通常见于未接种疫苗的初次感染的 10 岁以下儿童，但也可见于接种过疫苗的儿童和成人。\n典型百日咳的病程分为三期：\n卡他期：\n临床表现与病毒性上呼吸道感染相似，表现为轻微咳嗽和卡他症状（流涕、打喷嚏、鼻塞），发热少见（通常为低热）。与病毒性上呼吸道感染不同，百日咳的咳嗽逐渐加重而不是逐渐减轻，且卡他症状持续表现为水样鼻分泌物。卡他期一般持续 1～2 周。\n痉咳期：\n咳嗽发作的严重程度增加。具特征性的阵发性咳嗽：呈一长串的咳嗽，其间很少吸气或不吸气，此时家长常常会怀疑宝宝会咳到憋过去；咳末伴一次深长吸气，发出一种特殊的、高调鸡鸣样吸气性回声，好象鹭鸶叫一样，所以又称为「鹭鸶咳」。\n如此反复，可咳出黏稠痰液。患儿可能会出现咳嗽后呕吐或吃奶后呛咳、面红唇绀（如图 1）和呼吸困难。在两次发作间隔期，患儿多无明显症状，可能有出汗发作。阵发性咳嗽可自发出现，也可由外界刺激诱发，在夜间更加明显。并发症最常发生在此期。\n3.病因：\n百日咳的病因就是感染了「百日咳鲍特菌」。\n4.诊断：\n医生通过询问病史、观察患儿的症状、进行体格检查，结合一些常规的抽血检查，就可以诊断百日咳。\n通过培养百日咳鲍特菌、检测百日咳抗体、进行百日咳 PCR 检测等方法，则可以明确诊断，这些检测需要抽血或沾取咽喉部分泌物。\n5.治疗：\n抗菌治疗：首选大环内酯类抗生素，如红霉素、阿奇霉素等，绝大多数 1 个疗程即可。\n液体和营养：无论儿童是住院治疗、还是在家照护，都应密切监测其液体和营养状态。必要时鼻胃管和静脉营养。\n咳嗽的处理：百日咳痉咳期最大的困扰是频繁剧烈的咳嗽，目前还没有特别有效的干预措施，所以予药物对症治疗还有待商议。\n保持呼吸道通畅：保持室内空气流通及环境安静舒适，避免刺激诱发患儿痉咳，如激动、剧烈活动、低温、吸痰吸鼻涕。因为极少发生窒息，所以一般不需要常规用药化痰及吸痰。\n积极治疗并发症：如合并心脑功能障碍者，给予相应的治疗。\n6.生活：\n很多百日咳患儿会有剧烈咳嗽导致呕吐的现象，而且患儿有可能不愿意进食。喂养方面可以少量多餐。\n7.预防：\n接种百白破疫苗。\n不要让孩子接触百日咳病人。\n对确诊百日咳病例的家庭内所有人和密切接触者（距离小于 1 米面对面接触、同一房间超过 1 小时、有过口腔或鼻分泌物的直接接触），以及任何接触过百日咳病例的高风险人群（婴儿、孕妇、免疫缺陷者、患有慢性肺疾病、照顾婴儿的人），要给予预防性用药（方案治疗用药）。即使这些人已经完全接种过百日咳疫苗。\n学校、托儿所要遵守隔离规定。\n8.就诊：\n推荐科室\n儿科\n复旦大学附属华山医院\n上海市乌鲁木齐中路12号、华山路433号、吴中东路518号、浦东新区红枫路525号、闵行区金光路958号、江苏路796号、宝山区陆翔路108号、同望路55号\n三级甲等\n浙江大学医学院附属第一医院\n杭州市庆春路79号\n三级甲等\n南方医科大学南方医院\n广州市广州大道北1838号\n三级甲等\n中国医学科学院北京协和医院\n北京市东城区王府井帅府园1号（100730）；北京市西城区大木仓胡同41号（100032）\n三级甲等
